signal_id,date,source_type,source_name,source_url,title,summary,theme,tickers_mentioned,mapped_tickers,mapped_a_shares,evidence_strength,confidence,created_at
6a876e8517ebf59b,2026-07-25,news,Google News: US domestic semiconductor supply chain advanced packaging materials equipment,https://news.google.com/rss/articles/CBMigAJBVV95cUxPaWVObFFreHhqTTRGdnhEY3o5dF9qY3Z4U0xwZktWd2toMkxia3pjeUFlM194bHNGaW1rU2Rsek8tZUhHb1A5MFlmbGlIdXgyTGg2ZGRqdUk5aW1vQVpCTmtzaUduWGtlSC1VUkZQVnRTTk1wWndHdkM2Q2Y3b05LbW9SUzVjS1g5SXdPTml5azdIS29oSmllOUtMdS1BenFIU1MxYnFBN0ZjRWNna0NDT0NFSTVvb0R2aTRJOW9wdGFCZTg3QXVRNV9GMHdYZ0N0R0liU1hYa01OYTdGM212MHFKWHExSkVLV3puV0U0Xy1VZWxzamFiRF82MnZmb1lh?oc=5,Technology Announces Strategic Partnership with NVIDIA to Expand Advanced Packaging and Test for Next-Generation AI Infrastructure - Yole Group,Technology Announces Strategic Partnership with NVIDIA to Expand Advanced Packaging and Test for Next-Generation AI Infrastructure Yole Group,AI PCB and advanced packaging; Rack-scale AI factory; Semiconductor materials and consumables,NVDA,AMAT; AMKR; ANET; ASML; AVGO; CRDO; DELL; ENTG; ETN; HPE; INTC; LRCX; MRVL; NVDA; Q; SMCI; TSM; VRT,002436.SZ; 002463.SZ; 002916.SZ; 300054.SZ; 300476.SZ; 600183.SS; 603228.SS; 688019.SS; 688120.SS; 688300.SS; 000938.SZ; 000977.SZ; 002028.SZ; 002156.SZ; 002371.SZ; 002409.SZ; 002837.SZ; 002851.SZ; 300236.SZ; 300346.SZ; 300499.SZ; 300602.SZ; 300604.SZ; 300666.SZ,72,94,2026-07-26T01:21:22.289991+00:00
642696e9e4c4feb6,2026-07-25,news,Google News: Vera Rubin AI factory NVIDIA,https://news.google.com/rss/articles/CBMiywFBVV95cUxPMU9ubERmSGtkX0hsVEF5VFVrMjdwT05BS2V3d190ajM0cjlxYnFPZ2VuZjk2b3FtcFFWV1NqNXRQampVWEtKRUVmUGNCNWswd2NoR0JYNk14UDdMQm5Id3JUX0lHcXNZTTVCUEJWYmozR0RPem40ZXdIZGl1UUhyZ09uejduNXFDbEJNdGY4UXRPa1NUM2xNUmpYTjlQNmhtNGNLT3FQUmxJeXFkVEdzZFJZSHZETjVNSWNUTXZ5d3A0MnUxVm9kcm9OONIB0AFBVV95cUxOS3lEaTJfTmVabUFvM2hreHF4cTVwNW9lMVZVNnhMc3FEM0ZZZjZmaHhBaGdrek81bS0zTDdLa19xSUh4dUxBeWxUMl9icnUweUFaV0tiSk9WV2NNdUpuYzNydHNQUUg5cEE5dElYSGJOU2M0ak56S1cwSjg5bzRsVGk2N3Jpak…,Will Korea’s Gigawatt-Scale AI Factories Deal Redefine NVIDIA’s (NVDA) Infrastructure Narrative? - simplywall.st,Will Korea’s Gigawatt-Scale AI Factories Deal Redefine NVIDIA’s (NVDA) Infrastructure Narrative? simplywall.st,Rack-scale AI factory,NVDA,ANET; CRDO; DELL; ETN; HPE; MRVL; NVDA; SMCI; VRT,000938.SZ; 000977.SZ; 002028.SZ; 002463.SZ; 002837.SZ; 002851.SZ; 002916.SZ; 300476.SZ; 300499.SZ; 300602.SZ; 300870.SZ; 300990.SZ; 301018.SZ; 600183.SS; 601138.SS; 603228.SS; 688041.SS; 688256.SS; 688676.SS; 920808.BJ,64,78,2026-07-26T01:21:22.289991+00:00
04aa4d78ce51c9fe,2026-07-25,news,Google News: Vera Rubin AI factory NVIDIA,https://news.google.com/rss/articles/CBMiygFBVV95cUxQWWdmVzNHOG9UWDV2VnM0ek1kOTlMSDMydklMbjQzSDBSUWVYaGFJeFQwZk9tR09qNDVtMWlHS2pIUmVHVGxoOVFPSm1LYS1UUXdzNnNwa2U2MUVGaXFJLWVPb1NvNlN1OWhCX21OR3ROa1FjVFVsVVpuekRLMGVDYWw0SzBnMXRGMGY2ZlVXalpHVktOM2xhVlprcXpDLVV6WUVLdUFCOW43TkM2dW9lTnpBbS1TZ1hYd2pOMUMyc1lrVU1YaERxaWRR?oc=5,SK Group and NVIDIA Expand Strategic Partnership Across AI Factories and Next-Generation Memory - NVIDIA Newsroom,SK Group and NVIDIA Expand Strategic Partnership Across AI Factories and Next-Generation Memory NVIDIA Newsroom,Rack-scale AI factory,NVDA,ANET; CRDO; DELL; ETN; HPE; MRVL; NVDA; SMCI; VRT,000938.SZ; 000977.SZ; 002028.SZ; 002463.SZ; 002837.SZ; 002851.SZ; 002916.SZ; 300476.SZ; 300499.SZ; 300602.SZ; 300870.SZ; 300990.SZ; 301018.SZ; 600183.SS; 601138.SS; 603228.SS; 688041.SS; 688256.SS; 688676.SS; 920808.BJ,64,78,2026-07-26T01:21:22.289991+00:00
27fb20ef8cd19f38,2026-07-25,news,Google News: AI data center liquid cooling power,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOZ0FTeDBfVmQtcEEyTU1kVnd0cW9zNmRVUEhzdjUyR0pMQlkzRTg5WktMMUdKQmNjWlQtYTNtOHdDaEFJamZaUk16ZWx5ZXU4ZW10UGZZUUoxdjVFTXM3VTV5ZFg3V0tKNnBsMlBmNkZsTTMtMGxRajg5YUxmbXgwdFNnTkJESXROektHMkhud2RQb3pqd2xNY05ibU8wQW9WVzByNEtEbXo0SW8?oc=5,How liquid cooling is redefining data centre efficiency - Business Review,How liquid cooling is redefining data centre efficiency Business Review,AI data center power and cooling,,BE; CAT; CEG; CVX; DELL; ETN; FLNC; GEV; LNG; NEE; OKLO; SMCI; SMR; VRT,000938.SZ; 000977.SZ; 002028.SZ; 002463.SZ; 002837.SZ; 002851.SZ; 002916.SZ; 003816.SZ; 300476.SZ; 300499.SZ; 300602.SZ; 300870.SZ; 300990.SZ; 301018.SZ; 600183.SS; 600875.SS; 601138.SS; 601985.SS; 603228.SS; 688676.SS; 920808.BJ,64,78,2026-07-26T01:21:22.289991+00:00
9c6ac15f8eb85572,2026-07-25,news,Google News: physical AI robotics world model,https://news.google.com/rss/articles/CBMiyAFBVV95cUxON2dBcmQ2ZktQOWxGS0QtQ1hHSzlwYVlpbjFiVy1TNmxIcjgtckViU0pDOUlUSllNd1QtMFJRR09CNHBCakRzaldROUhnQV9NdWxPcG5YVTgxQUJoajJvZ1ZMZ05yaUNoSTEtYkhCT2FPUDRQV0ViWXZqaC1VbTgzendKQTJhQldvT1V1VWJKNDFvckROcE5Na0E4T3VMVGxTVHJjS3pjSmh1b1RiNEd2ZmNWT09KaTBvQ2ZFdVVNZGlrTkt2akluUw?oc=5,"FLUX 3 Launches: Black Forest Labs Enters Video, Audio, and Physical AI in One Model - Tech Times","FLUX 3 Launches: Black Forest Labs Enters Video, Audio, and Physical AI in One Model Tech Times",Physical AI and robotics,,ISRG; NVDA; ROK; TER; TSLA,002050.SZ; 601689.SS; 688041.SS; 688256.SS; 600111.SS; 000657.SZ; 300124.SZ; 688017.SS; 688322.SS,61,75,2026-07-26T01:21:22.289991+00:00
191c5917ec33b1c1,2026-07-24,news,Google News: co-packaged optics AI data center CPO,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQT3E1VUJ6clNVVE1uTEVrN0x4b3VneG5sX2xKRlh1VHJNY282WHJ3UzZqOFdEXzZiVUNiNEU3d1Nob2JIQkhxQkdXcWhidEFpWm5ab2NJekZtMU0wclNSR0ZfT253YU1NTkRzQkhLZ3EtLWpJbEtGRGRKOWNVUEExRWYzZzJOVUdqV0xISXZyTERfNEtSNks0QWxlZlRWU1lfcnppTHE0UTRqb1NFM1prNXVTUkxsSmU5cEc0WDhGdkgtTkp5Mzh3UVFVNW56emk1bXRQOFMzd1VvdVZC?oc=5,Beyond HBM: Samsung Targets the Next AI Battleground with Advanced Packaging and CPO - semivision,Beyond HBM: Samsung Targets the Next AI Battleground with Advanced Packaging and CPO semivision,AI PCB and advanced packaging; CPO and optical interconnect; HBM memory and context storage,,AMAT; AMD; AMKR; ANET; ASML; AVGO; CIEN; COHR; CRDO; DELL; FN; GLW; INTC; LITE; LRCX; MRVL; MU; NTAP; NVDA; PSTG; SNDK; STX; TSM; WDC,002436.SZ; 001309.SZ; 000988.SZ; 002463.SZ; 002916.SZ; 300308.SZ; 300476.SZ; 300502.SZ; 301308.SZ; 600183.SS; 603228.SS; 603986.SS; 688300.SS; 688535.SS; 000021.SZ; 000938.SZ; 000977.SZ; 002156.SZ; 002281.SZ; 002371.SZ; 002409.SZ; 300054.SZ; 300236.SZ; 300346.SZ,72,94,2026-07-26T01:21:22.289991+00:00
3cb5613f5c09c0cb,2026-07-24,news,Google News: HBM AI server storage memory bandwidth,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQT3E1VUJ6clNVVE1uTEVrN0x4b3VneG5sX2xKRlh1VHJNY282WHJ3UzZqOFdEXzZiVUNiNEU3d1Nob2JIQkhxQkdXcWhidEFpWm5ab2NJekZtMU0wclNSR0ZfT253YU1NTkRzQkhLZ3EtLWpJbEtGRGRKOWNVUEExRWYzZzJOVUdqV0xISXZyTERfNEtSNks0QWxlZlRWU1lfcnppTHE0UTRqb1NFM1prNXVTUkxsSmU5cEc0WDhGdkgtTkp5Mzh3UVFVNW56emk1bXRQOFMzd1VvdVZC?oc=5,Beyond HBM: Samsung Targets the Next AI Battleground with Advanced Packaging and CPO - semivision,Beyond HBM: Samsung Targets the Next AI Battleground with Advanced Packaging and CPO semivision,AI PCB and advanced packaging; CPO and optical interconnect; HBM memory and context storage,,AMAT; AMD; AMKR; ANET; ASML; AVGO; CIEN; COHR; CRDO; DELL; FN; GLW; INTC; LITE; LRCX; MRVL; MU; NTAP; NVDA; PSTG; SNDK; STX; TSM; WDC,002436.SZ; 001309.SZ; 000988.SZ; 002463.SZ; 002916.SZ; 300308.SZ; 300476.SZ; 300502.SZ; 301308.SZ; 600183.SS; 603228.SS; 603986.SS; 688300.SS; 688535.SS; 000021.SZ; 000938.SZ; 000977.SZ; 002156.SZ; 002281.SZ; 002371.SZ; 002409.SZ; 300054.SZ; 300236.SZ; 300346.SZ,72,94,2026-07-26T01:21:22.289991+00:00
bb13f1911f1e170c,2026-07-24,news,Google News: long context inference serving KV cache AI,https://news.google.com/rss/articles/CBMitwFBVV95cUxQWWQ5NEtCTVdDOWRCSmMyWXk3SWk3MjlpUzNHOUxIc1Ftd2VUblRDQWp5WnkwSE1qcjl3ZHRqWG9hOGlkd1VEVGlzSWh2Q203eFFOdXhUc3lENUFXVXlYU2gyQkhyN3NUWG9YaDJSc1A3bGxYem9Yb2llNnB6SFZxbm9feU0xdS1lNUllbVVtNGhZSGZfOVJFUEVYdUg2SWpNbWE4VmNLX3RwZG1mSG16WkhoNzNndm8?oc=5,VAST Data Expands Collaboration with AMD to Advance AI Infrastructure for the Inference Era - Carroll County Mirror-Democrat,VAST Data Expands Collaboration with AMD to Advance AI Infrastructure for the Inference Era Carroll County Mirror-Democrat,AI inference serving and networking; Rack-scale AI factory,AMD,AMD; AMZN; ANET; AVGO; CRDO; CRWV; DELL; ETN; GOOG; HPE; MRVL; MSFT; NBIS; NVDA; ORCL; SMCI; VRT,000938.SZ; 000977.SZ; 002028.SZ; 002156.SZ; 002463.SZ; 002837.SZ; 002851.SZ; 002916.SZ; 300442.SZ; 300476.SZ; 300499.SZ; 300602.SZ; 300870.SZ; 300990.SZ; 301018.SZ; 600183.SS; 601138.SS; 603228.SS; 688041.SS; 688256.SS; 688676.SS; 920808.BJ,68,86,2026-07-26T01:21:22.289991+00:00
ce7467d37940fb4d,2026-07-24,news,Google News: US domestic semiconductor supply chain advanced packaging materials equipment,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQNXI1LTJISTJqNWYwU3RVaWZFTzdUY3Y2MVlaeWZsVHFwcjdJcTdJcURaUjBIVWhaTFltTmdUY2R4T0NxMW9GUGJ0ZDl5ako4NDdBMldsVEJ2cmhjb0F2cEUxOGNOX1EyRmM2bVZQdjl5dGJzUTZuLXRwYzdGU25qQ3hCYzhfcnBjR1FaQlFoTGVGZGI1ek1UVGZDR3hlUTJTOC1WazFzcDhqYmpac1kxcjF0Y0hwbU0yOFdjd1dMX3UzMGtGVlNjZjEtdlJHTDV0MUg0?oc=5,Global Chip Race Fractures Into Four Strategies: US Packaging Gap Remains After $265B Bet - Tech Times,Global Chip Race Fractures Into Four Strategies: US Packaging Gap Remains After $265B Bet Tech Times,AI PCB and advanced packaging; Semiconductor materials and consumables,,AMAT; AMKR; ANET; ASML; AVGO; DELL; ENTG; INTC; LRCX; MRVL; NVDA; Q; TSM,002436.SZ; 002463.SZ; 002916.SZ; 300054.SZ; 300476.SZ; 600183.SS; 603228.SS; 688019.SS; 688120.SS; 688300.SS; 000938.SZ; 000977.SZ; 002156.SZ; 002371.SZ; 002409.SZ; 300236.SZ; 300346.SZ; 300604.SZ; 300666.SZ; 300870.SZ; 600206.SS; 601138.SS; 688012.SS; 688041.SS,68,86,2026-07-26T01:21:22.289991+00:00
c1a2508bf025488c,2026-07-24,news,Google News: US domestic semiconductor supply chain advanced packaging materials equipment,https://news.google.com/rss/articles/CBMimwFBVV95cUxNeW5pV1cyU2FwT0lXcXctOEIzUi1BWExIX0NvLWVfb0JuX1VhYklEZWo2dTlRbEVyVzRXcnd6RjM1a0lKTEYzNkc2bmdfTVBKZEQ5YzdQbUJmZzliekpSdjNoRlJ2RFlUVE00bXQ5VVlYYlFFTHloYl8tQldzNjduLUU1U2dMa0k4TzJjT3o0a19ETzYzZElZWXBrUQ?oc=5,NVIDIA backs Amkor with $1.5bn to expand AI packaging in the US ... - eeNews Europe,NVIDIA backs Amkor with $1.5bn to expand AI packaging in the US ... eeNews Europe,AI PCB and advanced packaging; Semiconductor materials and consumables,NVDA,AMAT; AMKR; ANET; ASML; AVGO; DELL; ENTG; INTC; LRCX; MRVL; NVDA; Q; TSM,002436.SZ; 002463.SZ; 002916.SZ; 300054.SZ; 300476.SZ; 600183.SS; 603228.SS; 688019.SS; 688120.SS; 688300.SS; 000938.SZ; 000977.SZ; 002156.SZ; 002371.SZ; 002409.SZ; 300236.SZ; 300346.SZ; 300604.SZ; 300666.SZ; 300870.SZ; 600206.SS; 601138.SS; 688012.SS; 688041.SS,68,86,2026-07-26T01:21:22.289991+00:00
