run_date,ticker,company,market,pool_presence,theme,chain_layer,mapped_us,why_now,source_strength_score,exposure_purity_score,paper_signal_score,novelty_score,sentiment_score,market_setup_score,risk_score,total_score,recommendation,review_status,supporting_signals,supporting_papers,price,change_percent,quote_timestamp,notes
2026-07-26,000657.SZ,中钨高新,A股,online_pool,AI inference serving and networking; Physical AI and robotics; Semiconductor materials and consumables,上游,,"FLUX 3 Launches: Black Forest Labs Enters Video, Audio, and Physical AI in One Model - Tech Times / Image Sensor Market Overview - Market Growth Reports / VLA Still in Play, WAM Yet to Take Hold as Physical AI Remains Far from Settled - Gasgoo / Emergent Compositional Skills in Mixture-of-Experts VLAs / PhysCoRe: Physics-Corrected Residual World Models for Material-Aware Deformable Dynamics",20,13,15,10,10,8,5,81,already_in_pool,pending,9c6ac15f8eb85572; ffae9ed2d2037e08; 87a7c56a7b3bfa14; 2ca1a3d4e162e321; d4b266ceb78af9e5; e8792472ab3bda25; bdce3ee63c0cd611; fd208efa18c7b24c; 680e59606f04ddbd; 316d586babfa626b; 48ab20ee10c2b1d3; d366b2993382c284,2607.20771v1; 2607.20653v1; 2607.19876v1; 2607.19719v1; 2607.19190v2; 2607.18709v2; 2607.17521v2,55.51,-3.8788,2026-07-24T01:30:00+00:00,日内位置温和
2026-07-26,002463.SZ,沪电股份,A股,online_pool,AI PCB and advanced packaging; AI data center power and cooling; AI inference serving and networking; CPO and optical interconnect,上游,,Technology Announces Strategic Partnership with NVIDIA to Expand Advanced Packaging and Test for Next-Generation AI Inf… / Will Korea’s Gigawatt-Scale AI Factories Deal Redefine NVIDIA’s (NVDA) Infrastructure Narrative? - simplywall.st / SK Group and NVIDIA Expand Strategic Partnership Across AI Factories and Next-Generation Memory - NVIDIA Newsroom / Windowed-MTP: Removing the Full-Context Draft-KV Tax at Million-Token Context / Emergent Compositional Skills in Mixture-of-Experts VLAs,20,13,15,10,10,8,5,81,already_in_pool,pending,6a876e8517ebf59b; 642696e9e4c4feb6; 04aa4d78ce51c9fe; 27fb20ef8cd19f38; 191c5917ec33b1c1; 3cb5613f5c09c0cb; bb13f1911f1e170c; ce7467d37940fb4d; c1a2508bf025488c; 91a0973148b76890; edf79ff6cdee28f8; 335f43da8a24bf7b,2607.21535v1; 2607.20771v1; 2607.20723v1; 2607.19771v1; 2607.20652v1; 2607.19973v1; 2607.19343v1; 2607.19438v1; 2607.18722v2; 2607.19223v1; 2607.19058v1; 2607.17598v1,112.22,-3.0413,2026-07-24T01:30:00+00:00,日内位置温和
2026-07-26,600111.SS,北方稀土,A股,online_pool,AI inference serving and networking; Physical AI and robotics; Semiconductor equipment and manufacturing; Semiconductor materials and consumables,上游,,"FLUX 3 Launches: Black Forest Labs Enters Video, Audio, and Physical AI in One Model - Tech Times / Image Sensor Market Overview - Market Growth Reports / VLA Still in Play, WAM Yet to Take Hold as Physical AI Remains Far from Settled - Gasgoo / Emergent Compositional Skills in Mixture-of-Experts VLAs / PhysCoRe: Physics-Corrected Residual World Models for Material-Aware Deformable Dynamics",20,13,15,10,10,8,5,81,already_in_pool,pending,9c6ac15f8eb85572; ffae9ed2d2037e08; 87a7c56a7b3bfa14; 2ca1a3d4e162e321; d4b266ceb78af9e5; e8792472ab3bda25; bdce3ee63c0cd611; fd208efa18c7b24c; 680e59606f04ddbd; 316d586babfa626b; 48ab20ee10c2b1d3; d366b2993382c284,2607.20771v1; 2607.20653v1; 2607.19876v1; 2607.19719v1; 2607.19190v2; 2607.18709v2; 2607.18565v1; 2607.17521v2,39.03,-3.0792,2026-07-24T01:30:00+00:00,日内位置温和
2026-07-26,688322.SS,奥比中光,A股,online_pool,AI inference serving and networking; Physical AI and robotics; Semiconductor materials and consumables,下游,,"FLUX 3 Launches: Black Forest Labs Enters Video, Audio, and Physical AI in One Model - Tech Times / Image Sensor Market Overview - Market Growth Reports / VLA Still in Play, WAM Yet to Take Hold as Physical AI Remains Far from Settled - Gasgoo / Emergent Compositional Skills in Mixture-of-Experts VLAs / PhysCoRe: Physics-Corrected Residual World Models for Material-Aware Deformable Dynamics",20,13,15,10,10,8,5,81,already_in_pool,pending,9c6ac15f8eb85572; ffae9ed2d2037e08; 87a7c56a7b3bfa14; 2ca1a3d4e162e321; d4b266ceb78af9e5; e8792472ab3bda25; bdce3ee63c0cd611; fd208efa18c7b24c; 680e59606f04ddbd; 316d586babfa626b; 48ab20ee10c2b1d3; d366b2993382c284,2607.20771v1; 2607.20653v1; 2607.19876v1; 2607.19719v1; 2607.19190v2; 2607.18709v2; 2607.17521v2,87.57,-3.7057,2026-07-24T01:30:00+00:00,日内位置温和
2026-07-26,ANET,Arista Networks,美股,online_pool,AI PCB and advanced packaging; AI data center power and cooling; AI inference serving and networking; CPO and optical interconnect,中游,ANET,Technology Announces Strategic Partnership with NVIDIA to Expand Advanced Packaging and Test for Next-Generation AI Inf… / Will Korea’s Gigawatt-Scale AI Factories Deal Redefine NVIDIA’s (NVDA) Infrastructure Narrative? - simplywall.st / SK Group and NVIDIA Expand Strategic Partnership Across AI Factories and Next-Generation Memory - NVIDIA Newsroom / Windowed-MTP: Removing the Full-Context Draft-KV Tax at Million-Token Context / Emergent Compositional Skills in Mixture-of-Experts VLAs,20,13,15,10,10,8,5,81,already_in_pool,pending,6a876e8517ebf59b; 642696e9e4c4feb6; 04aa4d78ce51c9fe; 191c5917ec33b1c1; 3cb5613f5c09c0cb; bb13f1911f1e170c; ce7467d37940fb4d; c1a2508bf025488c; 91a0973148b76890; edf79ff6cdee28f8; 335f43da8a24bf7b; 4699906b9c0874d1,2607.21535v1; 2607.20771v1; 2607.20723v1; 2607.19771v1; 2607.20652v1; 2607.19973v1; 2607.19343v1; 2607.19438v1; 2607.18722v2; 2607.19223v1; 2607.19058v1; 2607.17598v1,173.99,-1.4835,2026-07-24T13:30:00+00:00,日内位置温和
2026-07-26,NVDA,NVIDIA,美股,online_pool,AI PCB and advanced packaging; AI data center power and cooling; AI inference serving and networking; CPO and optical interconnect,上游,NVDA,Technology Announces Strategic Partnership with NVIDIA to Expand Advanced Packaging and Test for Next-Generation AI Inf… / Will Korea’s Gigawatt-Scale AI Factories Deal Redefine NVIDIA’s (NVDA) Infrastructure Narrative? - simplywall.st / SK Group and NVIDIA Expand Strategic Partnership Across AI Factories and Next-Generation Memory - NVIDIA Newsroom / Windowed-MTP: Removing the Full-Context Draft-KV Tax at Million-Token Context / REFACT: Adaptive Fact Restatement for Compact and Faithful Chain-of-Thought Reasoning,20,13,15,10,10,8,5,81,already_in_pool,pending,6a876e8517ebf59b; 642696e9e4c4feb6; 04aa4d78ce51c9fe; 9c6ac15f8eb85572; 191c5917ec33b1c1; 3cb5613f5c09c0cb; bb13f1911f1e170c; ce7467d37940fb4d; c1a2508bf025488c; 91a0973148b76890; edf79ff6cdee28f8; ffae9ed2d2037e08,2607.21535v1; 2607.20833v1; 2607.21475v1; 2607.21447v1; 2607.21284v1; 2607.21067v1; 2607.20771v1; 2607.20723v1; 2607.19771v1; 2607.20652v1; 2607.19973v1; 2607.20653v1,206.84,-0.9197,2026-07-24T13:30:00+00:00,日内位置温和
2026-07-26,TSLA,Tesla,美股,online_pool,AI PCB and advanced packaging; AI data center power and cooling; AI inference serving and networking; Physical AI and robotics,下游,TSLA,"FLUX 3 Launches: Black Forest Labs Enters Video, Audio, and Physical AI in One Model - Tech Times / Image Sensor Market Overview - Market Growth Reports / VLA Still in Play, WAM Yet to Take Hold as Physical AI Remains Far from Settled - Gasgoo / Emergent Compositional Skills in Mixture-of-Experts VLAs / PhysCoRe: Physics-Corrected Residual World Models for Material-Aware Deformable Dynamics",20,13,15,10,10,8,5,81,already_in_pool,pending,9c6ac15f8eb85572; ffae9ed2d2037e08; 87a7c56a7b3bfa14; 2ca1a3d4e162e321; d4b266ceb78af9e5; e8792472ab3bda25; bdce3ee63c0cd611; fd208efa18c7b24c; 680e59606f04ddbd; 316d586babfa626b; 48ab20ee10c2b1d3; d366b2993382c284,2607.20771v1; 2607.20653v1; 2607.19876v1; 2607.19719v1; 2607.19343v1; 2607.19190v2; 2607.18709v2; 2607.18565v1; 2607.17521v2,313.03,-2.0833,2026-07-24T13:30:00+00:00,日内位置温和
2026-07-26,MSFT,Microsoft,美股,online_pool,AI PCB and advanced packaging; AI inference serving and networking; CPO and optical interconnect; HBM memory and context storage,下游,MSFT,VAST Data Expands Collaboration with AMD to Advance AI Infrastructure for the Inference Era - Carroll County Mirror-Dem… / AMD Challenges NVIDIA's Full-Stack Barriers: Complete Insight into AMD AAI 2026 - 36 Kr / Tensormesh and AMD Collaborate to Empower Fewer GPUs to Serve More Models - Yahoo Finance / Windowed-MTP: Removing the Full-Context Draft-KV Tax at Million-Token Context / REFACT: Adaptive Fact Restatement for Compact and Faithful Chain-of-Thought Reasoning,19,13,15,10,10,8,5,80,already_in_pool,pending,bb13f1911f1e170c; d100094032c0f32e; a3e8a65a3a8d17f3; cca67a7eb7b36c4f; adea3035d769539d; f74183ce00a6766c; 24b06efe30dfad15; 736fcdb89a7e1f42; 7efc4d9fc21f8355; 31366d3c50fb6513; e4a1e936e64defea; 933b0b2e7fce3908,2607.21535v1; 2607.20833v1; 2607.21447v1; 2607.21284v1; 2607.21067v1; 2607.20771v1; 2607.20723v1; 2607.19771v1; 2607.20652v1; 2607.19973v1; 2607.19438v1; 2607.18722v2,381.7,0.0315,2026-07-24T13:30:00+00:00,日内位置温和
2026-07-26,002050.SZ,三花智控,A股,online_pool,AI PCB and advanced packaging; AI data center power and cooling; AI inference serving and networking; Physical AI and robotics,下游,,"FLUX 3 Launches: Black Forest Labs Enters Video, Audio, and Physical AI in One Model - Tech Times / Image Sensor Market Overview - Market Growth Reports / VLA Still in Play, WAM Yet to Take Hold as Physical AI Remains Far from Settled - Gasgoo / Emergent Compositional Skills in Mixture-of-Experts VLAs / PhysCoRe: Physics-Corrected Residual World Models for Material-Aware Deformable Dynamics",20,13,15,10,10,5,5,78,already_in_pool,pending,9c6ac15f8eb85572; ffae9ed2d2037e08; 87a7c56a7b3bfa14; 2ca1a3d4e162e321; d4b266ceb78af9e5; e8792472ab3bda25; bdce3ee63c0cd611; fd208efa18c7b24c; 680e59606f04ddbd; 316d586babfa626b; 48ab20ee10c2b1d3; d366b2993382c284,2607.20771v1; 2607.20653v1; 2607.19876v1; 2607.19719v1; 2607.19343v1; 2607.19190v2; 2607.18709v2; 2607.18565v1; 2607.17521v2,35.05,-5.7542,2026-07-24T01:30:00+00:00,短线偏弱，可观察是否回撤提供更好位置
2026-07-26,300124.SZ,汇川技术,A股,online_pool,AI inference serving and networking; Physical AI and robotics; Semiconductor materials and consumables,下游,,"FLUX 3 Launches: Black Forest Labs Enters Video, Audio, and Physical AI in One Model - Tech Times / Image Sensor Market Overview - Market Growth Reports / VLA Still in Play, WAM Yet to Take Hold as Physical AI Remains Far from Settled - Gasgoo / Emergent Compositional Skills in Mixture-of-Experts VLAs / PhysCoRe: Physics-Corrected Residual World Models for Material-Aware Deformable Dynamics",20,13,15,10,10,5,5,78,already_in_pool,pending,9c6ac15f8eb85572; ffae9ed2d2037e08; 87a7c56a7b3bfa14; 2ca1a3d4e162e321; d4b266ceb78af9e5; e8792472ab3bda25; bdce3ee63c0cd611; fd208efa18c7b24c; 680e59606f04ddbd; 316d586babfa626b; 48ab20ee10c2b1d3; d366b2993382c284,2607.20771v1; 2607.20653v1; 2607.19876v1; 2607.19719v1; 2607.19190v2; 2607.18709v2; 2607.17521v2,59.35,-4.8268,2026-07-24T01:30:00+00:00,短线偏弱，可观察是否回撤提供更好位置
